"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106","Обновление действующего токена","tests.api.auth","Wed Sep 10 12:10:12 GMT 2025","skipped","Wed Sep 10 12:10:12 GMT 2025","TestAuth","test_auth_api","",""
"","1218","Регистрация пользователя с паролем из 5 знаков","tests.ui","Wed Sep 10 12:10:19 GMT 2025","passed","Wed Sep 10 12:10:21 GMT 2025","TestRegister","test_register_ui","",""
"","114","Авторизация через email","tests.api.auth","Wed Sep 10 12:10:12 GMT 2025","passed","Wed Sep 10 12:10:12 GMT 2025","TestAuth","test_auth_api","",""
"","5","Авторизация с не валидным значением type","tests.api.auth","Wed Sep 10 12:10:12 GMT 2025","passed","Wed Sep 10 12:10:12 GMT 2025","TestAuth","test_auth_api","",""
"","1588","Авторизация пользователя с валидными данными","tests.ui","Wed Sep 10 12:10:15 GMT 2025","passed","Wed Sep 10 12:10:16 GMT 2025","TestAuth","test_auth_ui","",""
"","105","Получить пользователя с не валидным id","tests.api.users","Wed Sep 10 12:10:13 GMT 2025","passed","Wed Sep 10 12:10:13 GMT 2025","TestGetUsers","test_get_users_list","",""
"","1137","Регистрация пользователя с недопустимыми символами в поле username","tests.ui","Wed Sep 10 12:10:16 GMT 2025","passed","Wed Sep 10 12:10:17 GMT 2025","TestRegister","test_register_ui","",""
"","41","Авторизация пользователя с не валидными данными","tests.api.auth","Wed Sep 10 12:10:11 GMT 2025","passed","Wed Sep 10 12:10:11 GMT 2025","TestAuth","test_auth_api","",""
"","133","Получить список всех пользователей без фильтра","tests.api.users","Wed Sep 10 12:10:12 GMT 2025","passed","Wed Sep 10 12:10:13 GMT 2025","TestGetUsers","test_get_users_list","",""
"","1959","Регистрация пользователя с паролем из 6 знаков","tests.ui","Wed Sep 10 12:10:17 GMT 2025","passed","Wed Sep 10 12:10:19 GMT 2025","TestRegister","test_register_ui","",""
"","116","Авторизация через username","tests.api.auth","Wed Sep 10 12:10:12 GMT 2025","passed","Wed Sep 10 12:10:12 GMT 2025","TestAuth","test_auth_api","",""
"","124","Получить пользователя по id","tests.api.users","Wed Sep 10 12:10:13 GMT 2025","passed","Wed Sep 10 12:10:13 GMT 2025","TestGetUsers","test_get_users_list","",""
"","419","Регистрация пользователя с валидными данными","tests.api.auth","Wed Sep 10 12:10:12 GMT 2025","passed","Wed Sep 10 12:10:12 GMT 2025","TestRegistry","test_user_registry_api","",""
