"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","Получить список всех пользователей без фильтра","tests.api.users","Wed Sep 03 06:20:50 GMT 2025","passed","Wed Sep 03 06:20:50 GMT 2025","TestGetUsers","test_get_users_list","",""
"","119","Авторизация через email","tests.api.auth","Wed Sep 03 06:20:50 GMT 2025","passed","Wed Sep 03 06:20:50 GMT 2025","TestAuth","test_auth_api","",""
"","126","Получить пользователя по id","tests.api.users","Wed Sep 03 06:20:50 GMT 2025","passed","Wed Sep 03 06:20:51 GMT 2025","TestGetUsers","test_get_users_list","",""
"","104","Получить пользователя с не валидным id","tests.api.users","Wed Sep 03 06:20:51 GMT 2025","passed","Wed Sep 03 06:20:51 GMT 2025","TestGetUsers","test_get_users_list","",""
"","101","Обновление действующего токена","tests.api.auth","Wed Sep 03 06:20:50 GMT 2025","skipped","Wed Sep 03 06:20:50 GMT 2025","TestAuth","test_auth_api","",""
"","45","Авторизация пользователя с не валидными данными","tests.api.auth","Wed Sep 03 06:20:49 GMT 2025","passed","Wed Sep 03 06:20:49 GMT 2025","TestAuth","test_auth_api","",""
"","1598","Авторизация пользователя с валидными данными","tests.ui","Wed Sep 03 06:20:53 GMT 2025","passed","Wed Sep 03 06:20:55 GMT 2025","TestAuth","test_auth_ui","",""
"","6","Авторизация с не валидным значением type","tests.api.auth","Wed Sep 03 06:20:50 GMT 2025","passed","Wed Sep 03 06:20:50 GMT 2025","TestAuth","test_auth_api","",""
"","117","Авторизация через username","tests.api.auth","Wed Sep 03 06:20:50 GMT 2025","passed","Wed Sep 03 06:20:50 GMT 2025","TestAuth","test_auth_api","",""
"","150","Регистрация пользователя с валидными данными","tests.api.auth","Wed Sep 03 06:20:50 GMT 2025","passed","Wed Sep 03 06:20:50 GMT 2025","TestRegistry","test_user_registry_api","",""
